Year,GDP (current US$),Country = USA
1960,5.433E+11,
1961,5.633E+11,
1962,6.051E+11,
1963,6.386E+11,
1964,6.858E+11,
1965,7.437E+11,
1966,8.15E+11,
1967,8.617E+11,
1968,9.425E+11,
1969,1.0199E+12,
1970,1.0733E+12,
1971,1.16485E+12,
1972,1.27911E+12,
1973,1.42538E+12,
1974,1.54524E+12,
1975,1.6849E+12,
1976,1.87341E+12,
1977,2.08183E+12,
1978,2.3516E+12,
1979,2.62733E+12,
1980,2.85731E+12,
1981,3.20704E+12,
1982,3.34379E+12,
1983,3.63404E+12,
1984,4.03761E+12,
1985,4.33898E+12,
1986,4.57963E+12,
1987,4.85522E+12,
1988,5.23644E+12,
1989,5.64158E+12,
1990,5.96314E+12,
1991,6.15813E+12,
1992,6.52033E+12,
1993,6.85856E+12,
1994,7.28724E+12,
1995,7.63975E+12,
1996,8.07312E+12,
1997,8.57755E+12,
1998,9.06282E+12,
1999,9.63117E+12,
2000,1.02509E+13,
2001,1.05819E+13,
2002,1.09291E+13,
2003,1.14564E+13,
2004,1.22172E+13,
2005,1.30392E+13,
2006,1.38156E+13,
2007,1.44742E+13,
2008,1.47699E+13,
2009,1.44781E+13,
2010,1.5049E+13,
2011,1.55997E+13,
2012,1.6254E+13,
2013,1.68432E+13,
2014,1.75507E+13,
2015,1.8206E+13,
2016,1.86951E+13,
2017,1.94773E+13,
2018,2.05331E+13,
2019,2.1381E+13,
2020,2.10605E+13,
2021,2.33151E+13,
