observation_date,Year,CIVPART,Yearly Average,,
1948-01-01,1948,58.6,58.84166667,,
1948-02-01,1948,58.9,58.84166667,,
1948-03-01,1948,58.5,58.84166667,,
1948-04-01,1948,59.0,58.84166667,,
1948-05-01,1948,58.3,58.84166667,,
1948-06-01,1948,59.2,58.84166667,,
1948-07-01,1948,59.3,58.84166667,,
1948-08-01,1948,58.9,58.84166667,,
1948-09-01,1948,58.9,58.84166667,,
1948-10-01,1948,58.7,58.84166667,,
1948-11-01,1948,58.7,58.84166667,,
1948-12-01,1948,59.1,58.84166667,,
1949-01-01,1949,58.7,59.03333333,,
1949-02-01,1949,59.0,59.03333333,,
1949-03-01,1949,58.9,59.03333333,,
1949-04-01,1949,58.8,59.03333333,,
1949-05-01,1949,59.0,59.03333333,,
1949-06-01,1949,58.6,59.03333333,,
1949-07-01,1949,58.9,59.03333333,,
1949-08-01,1949,59.2,59.03333333,,
1949-09-01,1949,59.1,59.03333333,,
1949-10-01,1949,59.6,59.03333333,,
1949-11-01,1949,59.4,59.03333333,,
1949-12-01,1949,59.2,59.03333333,,
1950-01-01,1950,58.9,59.16666667,,
1950-02-01,1950,58.9,59.16666667,,
1950-03-01,1950,58.8,59.16666667,,
1950-04-01,1950,59.2,59.16666667,,
1950-05-01,1950,59.1,59.16666667,,
1950-06-01,1950,59.4,59.16666667,,
1950-07-01,1950,59.1,59.16666667,,
1950-08-01,1950,59.5,59.16666667,,
1950-09-01,1950,59.2,59.16666667,,
1950-10-01,1950,59.4,59.16666667,,
1950-11-01,1950,59.3,59.16666667,,
1950-12-01,1950,59.2,59.16666667,,
1951-01-01,1951,59.1,59.28333333,,
1951-02-01,1951,59.1,59.28333333,,
1951-03-01,1951,59.8,59.28333333,,
1951-04-01,1951,59.1,59.28333333,,
1951-05-01,1951,59.4,59.28333333,,
1951-06-01,1951,59.0,59.28333333,,
1951-07-01,1951,59.4,59.28333333,,
1951-08-01,1951,59.2,59.28333333,,
1951-09-01,1951,59.1,59.28333333,,
1951-10-01,1951,59.4,59.28333333,,
1951-11-01,1951,59.2,59.28333333,,
1951-12-01,1951,59.6,59.28333333,,
1952-01-01,1952,59.5,59.05833333,,
1952-02-01,1952,59.5,59.05833333,,
1952-03-01,1952,58.9,59.05833333,,
1952-04-01,1952,58.8,59.05833333,,
1952-05-01,1952,59.1,59.05833333,,
1952-06-01,1952,59.1,59.05833333,,
1952-07-01,1952,58.9,59.05833333,,
1952-08-01,1952,58.7,59.05833333,,
1952-09-01,1952,59.2,59.05833333,,
1952-10-01,1952,58.7,59.05833333,,
1952-11-01,1952,59.1,59.05833333,,
1952-12-01,1952,59.2,59.05833333,,
1953-01-01,1953,59.5,58.88333333,,
1953-02-01,1953,59.5,58.88333333,,
1953-03-01,1953,59.6,58.88333333,,
1953-04-01,1953,59.1,58.88333333,,
1953-05-01,1953,58.6,58.88333333,,
1953-06-01,1953,58.9,58.88333333,,
1953-07-01,1953,58.9,58.88333333,,
1953-08-01,1953,58.6,58.88333333,,
1953-09-01,1953,58.5,58.88333333,,
1953-10-01,1953,58.5,58.88333333,,
1953-11-01,1953,58.6,58.88333333,,
1953-12-01,1953,58.3,58.88333333,,
1954-01-01,1954,58.6,58.78333333,,
1954-02-01,1954,59.3,58.78333333,,
1954-03-01,1954,59.1,58.78333333,,
1954-04-01,1954,59.2,58.78333333,,
1954-05-01,1954,58.9,58.78333333,,
1954-06-01,1954,58.5,58.78333333,,
1954-07-01,1954,58.4,58.78333333,,
1954-08-01,1954,58.7,58.78333333,,
1954-09-01,1954,59.2,58.78333333,,
1954-10-01,1954,58.8,58.78333333,,
1954-11-01,1954,58.6,58.78333333,,
1954-12-01,1954,58.1,58.78333333,,
1955-01-01,1955,58.6,59.225,,
1955-02-01,1955,58.4,59.225,,
1955-03-01,1955,58.5,59.225,,
1955-04-01,1955,59.0,59.225,,
1955-05-01,1955,58.8,59.225,,
1955-06-01,1955,58.8,59.225,,
1955-07-01,1955,59.3,59.225,,
1955-08-01,1955,59.7,59.225,,
1955-09-01,1955,59.7,59.225,,
1955-10-01,1955,59.8,59.225,,
1955-11-01,1955,59.9,59.225,,
1955-12-01,1955,60.2,59.225,,
1956-01-01,1956,60.2,59.96666667,,
1956-02-01,1956,59.9,59.96666667,,
1956-03-01,1956,59.8,59.96666667,,
1956-04-01,1956,59.9,59.96666667,,
1956-05-01,1956,60.2,59.96666667,,
1956-06-01,1956,60.1,59.96666667,,
1956-07-01,1956,60.1,59.96666667,,
1956-08-01,1956,60.0,59.96666667,,
1956-09-01,1956,60.0,59.96666667,,
1956-10-01,1956,59.8,59.96666667,,
1956-11-01,1956,59.8,59.96666667,,
1956-12-01,1956,59.8,59.96666667,,
1957-01-01,1957,59.5,59.625,,
1957-02-01,1957,59.9,59.625,,
1957-03-01,1957,59.8,59.625,,
1957-04-01,1957,59.5,59.625,,
1957-05-01,1957,59.5,59.625,,
1957-06-01,1957,59.8,59.625,,
1957-07-01,1957,60.0,59.625,,
1957-08-01,1957,59.3,59.625,,
1957-09-01,1957,59.6,59.625,,
1957-10-01,1957,59.5,59.625,,
1957-11-01,1957,59.5,59.625,,
1957-12-01,1957,59.6,59.625,,
1958-01-01,1958,59.3,59.49166667,,
1958-02-01,1958,59.3,59.49166667,,
1958-03-01,1958,59.3,59.49166667,,
1958-04-01,1958,59.6,59.49166667,,
1958-05-01,1958,59.8,59.49166667,,
1958-06-01,1958,59.5,59.49166667,,
1958-07-01,1958,59.6,59.49166667,,
1958-08-01,1958,59.8,59.49166667,,
1958-09-01,1958,59.7,59.49166667,,
1958-10-01,1958,59.6,59.49166667,,
1958-11-01,1958,59.2,59.49166667,,
1958-12-01,1958,59.2,59.49166667,,
1959-01-01,1959,59.3,59.275,,
1959-02-01,1959,59.0,59.275,,
1959-03-01,1959,59.3,59.275,,
1959-04-01,1959,59.4,59.275,,
1959-05-01,1959,59.2,59.275,,
1959-06-01,1959,59.2,59.275,,
1959-07-01,1959,59.4,59.275,,
1959-08-01,1959,59.2,59.275,,
1959-09-01,1959,59.3,59.275,,
1959-10-01,1959,59.4,59.275,,
1959-11-01,1959,59.1,59.275,,
1959-12-01,1959,59.5,59.275,,
1960-01-01,1960,59.1,59.41666667,,
1960-02-01,1960,59.1,59.41666667,,
1960-03-01,1960,58.5,59.41666667,,
1960-04-01,1960,59.5,59.41666667,,
1960-05-01,1960,59.5,59.41666667,,
1960-06-01,1960,59.7,59.41666667,,
1960-07-01,1960,59.5,59.41666667,,
1960-08-01,1960,59.5,59.41666667,,
1960-09-01,1960,59.7,59.41666667,,
1960-10-01,1960,59.4,59.41666667,,
1960-11-01,1960,59.8,59.41666667,,
1960-12-01,1960,59.7,59.41666667,,
1961-01-01,1961,59.6,59.325,,
1961-02-01,1961,59.6,59.325,,
1961-03-01,1961,59.7,59.325,,
1961-04-01,1961,59.3,59.325,,
1961-05-01,1961,59.4,59.325,,
1961-06-01,1961,59.7,59.325,,
1961-07-01,1961,59.3,59.325,,
1961-08-01,1961,59.3,59.325,,
1961-09-01,1961,59.0,59.325,,
1961-10-01,1961,59.1,59.325,,
1961-11-01,1961,59.1,59.325,,
1961-12-01,1961,58.8,59.325,,
1962-01-01,1962,58.8,58.76666667,,
1962-02-01,1962,59.0,58.76666667,,
1962-03-01,1962,58.9,58.76666667,,
1962-04-01,1962,58.7,58.76666667,,
