Month,Year,Total,"Men, 20 years and older","Women, 20 years and older",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
Jan 2003,2003,66.4,75.8,60.8,45.9,66.6,64.6,67.2,69.4
Feb 2003,2003,66.4,76,60.6,45.7,66.7,64.5,66.5,69.4
Mar 2003,2003,66.3,75.9,60.7,44.5,66.6,64.1,66.4,69
Apr 2003,2003,66.4,76.1,60.7,45,66.7,64.7,66.6,68.9
May 2003,2003,66.4,76,60.7,45,66.5,64.9,66.3,68.1
June 2003,2003,66.5,76,61,45.2,66.7,64.8,66.7,68.4
July 2003,2003,66.2,75.9,60.6,44.4,66.5,64.3,65.8,67.6
Aug 2003,2003,66.1,75.8,60.6,43.7,66.4,64.3,66.3,67.7
Sept 2003,2003,66.1,76,60.2,44.1,66.2,64.5,66.3,67.8
Oct 2003,2003,66.1,75.9,60.4,43.7,66.4,64.1,66.5,67.7
Nov 2003,2003,66.1,76,60.3,44,66.4,64,65.5,67.7
Dec 2003,2003,65.9,75.9,60.2,43.1,66.2,63.3,66.6,67.7
Jan 2004,2004,66.1,76.1,60.2,44.5,66.4,64.3,66.7,68.5
Feb 2004,2004,66,75.7,60.4,43.8,66.3,63.5,66.4,68.1
Mar 2004,2004,66,75.8,60.5,42.8,66.3,64.1,66,68.9
Apr 2004,2004,65.9,75.5,60.4,43.8,66.3,63.5,66.2,68.5
May 2004,2004,66,75.6,60.4,44,66.3,63.2,65.5,68.8
June 2004,2004,66.1,75.8,60.5,43.2,66.4,63.3,65,68.7
July 2004,2004,66.1,75.9,60.4,44.2,66.4,64.1,64.9,68.9
Aug 2004,2004,66,75.9,60.2,43.9,66.3,64,65.1,68.8
Sept 2004,2004,65.8,75.7,60.1,43.4,66.1,63.8,66.1,68.5
Oct 2004,2004,65.9,75.7,60.2,44.2,66.2,64.3,66.3,68.6
Nov 2004,2004,66,75.8,60.2,44.3,66.3,64,66.6,68.2
Dec 2004,2004,65.9,75.6,60.2,44.2,66.2,63.8,65.9,68.2
Jan 2005,2005,65.8,75.5,60.3,43.4,66.2,63.6,66.2,67.6
Feb 2005,2005,65.9,75.7,60.3,43.3,66.3,63.5,66.1,68.1
Mar 2005,2005,65.9,75.6,60.1,44,66.2,63.7,65.7,68.1
Apr 2005,2005,66.1,75.8,60.3,44,66.3,64,65.9,68.1
May 2005,2005,66.1,76,60.4,44,66.4,64.4,65.8,68.2
June 2005,2005,66.1,76,60.3,43.6,66.2,64.7,65.2,68
July 2005,2005,66.1,75.9,60.3,43.6,66.3,64.6,66.4,67.8
Aug 2005,2005,66.2,76.1,60.3,44.1,66.4,64.6,66,68.1
Sept 2005,2005,66.1,75.9,60.5,43.4,66.4,64.2,66.2,67.8
