Macrotrends Data Download,,,
,U.S. Inflation Rate 1960-2023 | MacroTrends,,
U.S. Inflation Rate 1960-2023,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, Inflation Rate (%), Annual Change, 
12/31/1960,1.458,,
12/31/1961,1.0707,-0.39,
12/31/1962,1.1988,0.13,
12/31/1963,1.2397,0.04,
12/31/1964,1.2789,0.04,
12/31/1965,1.5852,0.31,
12/31/1966,3.0151,1.43,
12/31/1967,2.7728,-0.24,
12/31/1968,4.2718,1.5,
12/31/1969,5.4624,1.19,
12/31/1970,5.8383,0.38,
12/31/1971,4.2928,-1.55,
12/31/1972,3.2723,-1.02,
12/31/1973,6.1778,2.91,
12/31/1974,11.0548,4.88,
12/31/1975,9.1431,-1.91,
12/31/1976,5.7448,-3.4,
12/31/1977,6.5017,0.76,
12/31/1978,7.631,1.13,
12/31/1979,11.2545,3.62,
12/31/1980,13.5492,2.29,
12/31/1981,10.3347,-3.21,
12/31/1982,6.1314,-4.2,
12/31/1983,3.2124,-2.92,
12/31/1984,4.3005,1.09,
12/31/1985,3.5456,-0.75,
12/31/1986,1.898,-1.65,
12/31/1987,3.6646,1.77,
12/31/1988,4.0777,0.41,
12/31/1989,4.827,0.75,
12/31/1990,5.398,0.57,
12/31/1991,4.235,-1.16,
12/31/1992,3.0288,-1.21,
12/31/1993,2.9517,-0.08,
12/31/1994,2.6074,-0.34,
12/31/1995,2.8054,0.2,
12/31/1996,2.9312,0.13,
12/31/1997,2.3377,-0.59,
12/31/1998,1.5523,-0.79,
12/31/1999,2.188,0.64,
12/31/2000,3.3769,1.19,
12/31/2001,2.8262,-0.55,
12/31/2002,1.586,-1.24,
12/31/2003,2.2701,0.68,
12/31/2004,2.6772,0.41,
12/31/2005,3.3927,0.72,
12/31/2006,3.2259,-0.17,
12/31/2007,2.8527,-0.37,
12/31/2008,3.8391,0.99,
12/31/2009,-0.3555,-4.19,
12/31/2010,1.64,2,
12/31/2011,3.1568,1.52,
12/31/2012,2.0693,-1.09,
12/31/2013,1.4648,-0.6,
12/31/2014,1.6222,0.16,
12/31/2015,0.1186,-1.5,
12/31/2016,1.2616,1.14,
12/31/2017,2.1301,0.87,
12/31/2018,2.4426,0.31,
12/31/2019,1.8122,-0.63,
12/31/2020,1.2336,-0.58,
12/31/2021,4.6979,3.46,
