LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,SUICIDE,TOT,100000PER,A,1960,13.6,
AUS,SUICIDE,TOT,100000PER,A,1961,15,https://data.oecd.org/healthstat/suicide-rates.htm
AUS,SUICIDE,TOT,100000PER,A,1962,17.4,
AUS,SUICIDE,TOT,100000PER,A,1963,19.8,
AUS,SUICIDE,TOT,100000PER,A,1964,18.4,
AUS,SUICIDE,TOT,100000PER,A,1965,18.5,
AUS,SUICIDE,TOT,100000PER,A,1966,17.9,
AUS,SUICIDE,TOT,100000PER,A,1967,19,
AUS,SUICIDE,TOT,100000PER,A,1968,16,B
AUS,SUICIDE,TOT,100000PER,A,1969,15.3,
AUS,SUICIDE,TOT,100000PER,A,1970,15.4,
AUS,SUICIDE,TOT,100000PER,A,1971,16.6,
AUS,SUICIDE,TOT,100000PER,A,1972,15.3,
AUS,SUICIDE,TOT,100000PER,A,1973,14.1,
AUS,SUICIDE,TOT,100000PER,A,1974,14.4,
AUS,SUICIDE,TOT,100000PER,A,1975,13.3,
AUS,SUICIDE,TOT,100000PER,A,1976,12.9,
AUS,SUICIDE,TOT,100000PER,A,1977,13.1,
AUS,SUICIDE,TOT,100000PER,A,1978,12.9,
AUS,SUICIDE,TOT,100000PER,A,1979,13.2,B
AUS,SUICIDE,TOT,100000PER,A,1980,12.5,
AUS,SUICIDE,TOT,100000PER,A,1981,12.8,
AUS,SUICIDE,TOT,100000PER,A,1982,13.2,
AUS,SUICIDE,TOT,100000PER,A,1983,12.4,
AUS,SUICIDE,TOT,100000PER,A,1984,12.5,
AUS,SUICIDE,TOT,100000PER,A,1985,12.8,
AUS,SUICIDE,TOT,100000PER,A,1986,13.8,
AUS,SUICIDE,TOT,100000PER,A,1987,14.5,
AUS,SUICIDE,TOT,100000PER,A,1988,14,
AUS,SUICIDE,TOT,100000PER,A,1989,13.1,
AUS,SUICIDE,TOT,100000PER,A,1990,13.6,
AUS,SUICIDE,TOT,100000PER,A,1991,13.9,
AUS,SUICIDE,TOT,100000PER,A,1992,13.5,
AUS,SUICIDE,TOT,100000PER,A,1993,12.1,
AUS,SUICIDE,TOT,100000PER,A,1994,13.3,
AUS,SUICIDE,TOT,100000PER,A,1995,12.3,
AUS,SUICIDE,TOT,100000PER,A,1996,13.6,
AUS,SUICIDE,TOT,100000PER,A,1997,14.6,
AUS,SUICIDE,TOT,100000PER,A,1998,14.2,B
AUS,SUICIDE,TOT,100000PER,A,1999,13.4,
AUS,SUICIDE,TOT,100000PER,A,2000,12.7,
AUS,SUICIDE,TOT,100000PER,A,2001,12.9,
AUS,SUICIDE,TOT,100000PER,A,2002,12,
AUS,SUICIDE,TOT,100000PER,A,2003,11,
AUS,SUICIDE,TOT,100000PER,A,2004,10.7,
AUS,SUICIDE,TOT,100000PER,A,2006,10.6,
AUS,SUICIDE,TOT,100000PER,A,2007,10.7,
AUS,SUICIDE,TOT,100000PER,A,2008,11.1,
AUS,SUICIDE,TOT,100000PER,A,2009,10.8,
AUS,SUICIDE,TOT,100000PER,A,2010,11,
AUS,SUICIDE,TOT,100000PER,A,2011,10.9,
AUS,SUICIDE,TOT,100000PER,A,2012,11.5,
AUS,SUICIDE,TOT,100000PER,A,2013,11.5,
AUS,SUICIDE,TOT,100000PER,A,2014,12.6,
AUS,SUICIDE,TOT,100000PER,A,2015,13.2,
AUS,SUICIDE,TOT,100000PER,A,2016,12.2,
AUS,SUICIDE,TOT,100000PER,A,2017,13.6,
AUS,SUICIDE,TOT,100000PER,A,2018,13,
AUS,SUICIDE,TOT,100000PER,A,2019,13.3,
AUS,SUICIDE,TOT,100000PER,A,2020,12.4,
AUT,SUICIDE,TOT,100000PER,A,1960,25,
AUT,SUICIDE,TOT,100000PER,A,1961,23.9,
AUT,SUICIDE,TOT,100000PER,A,1962,24.6,
AUT,SUICIDE,TOT,100000PER,A,1963,23.7,
AUT,SUICIDE,TOT,100000PER,A,1964,24.9,
AUT,SUICIDE,TOT,100000PER,A,1965,25.2,
AUT,SUICIDE,TOT,100000PER,A,1966,25.4,
AUT,SUICIDE,TOT,100000PER,A,1967,24.8,
AUT,SUICIDE,TOT,100000PER,A,1968,24.4,
